process_order,repetition_order,repetition,layout,cache_bytes,cache_mib,read_ahead_frames,read_ahead_seconds,direction,direction_order_index,deadline_miss_rate,post_warmup_deadline_miss_rate,presentation_misses,page_read_p95_ms,queue_delay_p95_ms,late_completion_p95_ms,file_reads,file_bytes,tensorstore_cache_hits,tensorstore_cache_misses,tensorstore_cache_evictions,peak_concurrent_field_reads,scheduler_promotions,scheduler_cancellations,speculative_pages,useful_speculative_pages,useful_speculative_ratio,presentation_cache_evictions,presentation_cache_peak_bytes,peak_rss_bytes
42,10,002,regular,134217728,128.0,0,0.0,reverse,1,0.0,0.0,0,0.641541,0.102667,0.0,0,0,150,0,0,3,0,0,0,0,0.0,18,53760,45744128
43,11,002,hybrid,0,0.0,350,0.5,forward,0,0.0,0.0,0,3.524125,1.201709,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,38043648
43,11,002,hybrid,0,0.0,350,0.5,reverse,1,0.0,0.0,0,3.767667,2.16425,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,38060032
44,12,002,hybrid,0,0.0,700,1.0,forward,0,0.0,0.0,0,5.257,2.002959,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,36536320
44,12,002,hybrid,0,0.0,700,1.0,reverse,1,0.0,0.0,0,4.256417,6.675667,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,36651008
45,13,002,hybrid,16777216,16.0,0,0.0,forward,0,0.0,0.0,0,1.033208,0.102042,0.0,5,76530,294,9,0,3,0,0,0,0,0.0,18,53760,43614208
45,13,002,hybrid,16777216,16.0,0,0.0,reverse,1,0.0,0.0,0,0.938958,0.123,0.0,0,0,300,0,0,3,0,0,0,0,0.0,18,53760,43646976
46,14,002,hybrid,16777216,16.0,350,0.5,forward,0,0.0,0.0,0,0.692291,0.225458,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,42549248
46,14,002,hybrid,16777216,16.0,350,0.5,reverse,1,0.0,0.0,0,0.741417,0.545167,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,42565632
47,15,002,hybrid,16777216,16.0,700,1.0,forward,0,0.0,0.0,0,0.767083,0.50375,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43712512
47,15,002,hybrid,16777216,16.0,700,1.0,reverse,1,0.0,0.0,0,1.345625,1.074875,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43761664
48,0,003,hybrid,33554432,32.0,700,1.0,forward,1,0.0,0.0,0,0.98625,1.249916,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43925504
48,0,003,hybrid,33554432,32.0,700,1.0,reverse,0,0.0,0.0,0,1.44375,0.830458,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43859968
49,1,003,hybrid,33554432,32.0,350,0.5,forward,1,0.0,0.0,0,0.6685,0.335542,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,42893312
49,1,003,hybrid,33554432,32.0,350,0.5,reverse,0,0.0,0.0,0,1.00375,0.225584,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,42844160
50,2,003,hybrid,33554432,32.0,0,0.0,forward,1,0.0,0.0,0,0.958167,0.093167,0.0,0,0,300,0,0,3,0,0,0,0,0.0,18,53760,43515904
50,2,003,hybrid,33554432,32.0,0,0.0,reverse,0,0.0,0.0,0,1.007917,0.082959,0.0,5,76530,294,9,0,3,0,0,0,0,0.0,18,53760,43466752
51,3,003,hybrid,16777216,16.0,700,1.0,forward,1,0.0,0.0,0,0.568916,1.42225,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43794432
51,3,003,hybrid,16777216,16.0,700,1.0,reverse,0,0.0,0.0,0,0.781875,0.59025,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43728896
52,4,003,hybrid,16777216,16.0,350,0.5,forward,1,0.0,0.0,0,1.077292,0.7445,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43597824
52,4,003,hybrid,16777216,16.0,350,0.5,reverse,0,0.0,0.0,0,0.859375,0.154584,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43548672
53,5,003,hybrid,16777216,16.0,0,0.0,forward,1,0.0,0.0,0,0.763708,0.105292,0.0,0,0,300,0,0,3,0,0,0,0,0.0,18,53760,43630592
53,5,003,hybrid,16777216,16.0,0,0.0,reverse,0,0.0,0.0,0,0.864792,0.118875,0.0,5,76530,294,9,0,3,0,0,0,0,0.0,18,53760,43597824
54,6,003,hybrid,0,0.0,700,1.0,forward,1,0.0,0.0,0,3.140209,11.356875,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,35553280
54,6,003,hybrid,0,0.0,700,1.0,reverse,0,0.0,0.0,0,2.938625,2.1875,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,35504128
55,7,003,hybrid,0,0.0,350,0.5,forward,1,0.0,0.0,0,3.710375,1.171125,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,35160064
55,7,003,hybrid,0,0.0,350,0.5,reverse,0,0.0,0.0,0,3.576792,0.684417,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,35127296
56,8,003,hybrid,0,0.0,0,0.0,forward,1,0.0,0.0,0,3.962042,0.079334,0.0,250,3826500,0,450,0,3,0,0,0,0,0.0,18,53760,35520512
56,8,003,hybrid,0,0.0,0,0.0,reverse,0,0.0,0.0,0,11.711792,0.080875,0.0,250,3826500,0,450,0,3,0,0,0,0,0.0,18,53760,35504128
57,9,003,hybrid,134217728,128.0,700,1.0,forward,1,0.0,0.0,0,0.710958,2.124791,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43630592
57,9,003,hybrid,134217728,128.0,700,1.0,reverse,0,0.0,0.0,0,0.555458,0.491708,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43597824
58,10,003,hybrid,134217728,128.0,350,0.5,forward,1,0.0,0.0,0,0.646625,0.935708,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43679744
58,10,003,hybrid,134217728,128.0,350,0.5,reverse,0,0.0,0.0,0,0.783792,0.14875,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43646976
59,11,003,hybrid,134217728,128.0,0,0.0,forward,1,0.0,0.0,0,0.872834,0.114834,0.0,0,0,300,0,0,3,0,0,0,0,0.0,18,53760,43794432
59,11,003,hybrid,134217728,128.0,0,0.0,reverse,0,0.0,0.0,0,0.947583,0.178375,0.0,5,76530,294,9,0,3,0,0,0,0,0.0,18,53760,43778048
60,12,003,hybrid,67108864,64.0,700,1.0,forward,1,0.0,0.0,0,0.791042,1.521167,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43728896
60,12,003,hybrid,67108864,64.0,700,1.0,reverse,0,0.0,0.0,0,0.612292,0.497417,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43696128
61,13,003,hybrid,67108864,64.0,350,0.5,forward,1,0.0,0.0,0,0.744375,0.593459,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43810816
61,13,003,hybrid,67108864,64.0,350,0.5,reverse,0,0.0,0.0,0,0.671458,0.172417,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43778048
62,14,003,hybrid,67108864,64.0,0,0.0,forward,1,0.0,0.0,0,0.6305,0.073958,0.0,0,0,300,0,0,3,0,0,0,0,0.0,18,53760,43778048
62,14,003,hybrid,67108864,64.0,0,0.0,reverse,0,0.0,0.0,0,1.024292,0.125708,0.0,5,76530,294,9,0,3,0,0,0,0,0.0,18,53760,43745280
63,15,003,regular,134217728,128.0,0,0.0,forward,1,0.0,0.0,0,0.864167,0.130375,0.0,0,0,150,0,0,3,0,0,0,0,0.0,18,53760,45187072
63,15,003,regular,134217728,128.0,0,0.0,reverse,0,0.0,0.0,0,0.665417,0.124625,0.0,3,603167,147,3,0,3,0,0,0,0,0.0,18,53760,45137920
64,0,004,hybrid,134217728,128.0,0,0.0,forward,0,0.0,0.0,0,0.761084,0.087917,0.0,5,76530,294,9,0,3,0,0,0,0,0.0,18,53760,43909120
64,0,004,hybrid,134217728,128.0,0,0.0,reverse,1,0.0,0.0,0,0.625417,0.100709,0.0,0,0,300,0,0,3,0,0,0,0,0.0,18,53760,43974656
65,1,004,hybrid,134217728,128.0,350,0.5,forward,0,0.0,0.0,0,0.707333,0.251708,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43663360
65,1,004,hybrid,134217728,128.0,350,0.5,reverse,1,0.0,0.0,0,0.636,0.683417,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43728896
