repetition,cache_bytes,cache_mib,layout,mode,workload,pass_index,cache_condition,requested_units,selected_instance_rows,logical_bytes,read_ms,wall_ms,p50_unit_ms,p95_unit_ms,max_unit_ms,storage_frames_per_second,file_reads,file_batch_reads,file_bytes,cache_hits,cache_misses,cache_evictions,value_digest
000,134217728,128.0,regular,full,sequential_ui_reverse,0,workload_first_pass_shared_process_cache,1698,1187087,28490088,44.933278999999935,105.157333,0.026167000000000003,0.028957999999999998,0.042374999999999996,26439201.109716512,0,0,0,5120,0,0,7a015f92bb3966c236ec8d43bb120b56847634356a809923c86a20f58f29ad5e
000,134217728,128.0,regular,full,sequential_ui_reverse,1,workload_immediate_repeat_shared_process_cache,1698,1187087,28490088,44.95783200000004,104.845792,0.026166000000000002,0.029209,0.041958999999999996,26424761.76342309,0,0,0,5120,0,0,7a015f92bb3966c236ec8d43bb120b56847634356a809923c86a20f58f29ad5e
001,134217728,128.0,hybrid,full,random_frames_contract,0,workload_first_pass_shared_process_cache,128,128,8704,12492.632666000025,12495.330333,44.937583000000004,224.239251,635.144082,,311,311,17239676,2028,321,0,2088661f75d94debeaef555365c9e793af09792fb6608d149414af8d76b42ecb
001,134217728,128.0,hybrid,full,random_frames_contract,1,workload_immediate_repeat_shared_process_cache,128,128,8704,24.528226000000007,25.106417,0.18158400000000002,0.26354399999999994,0.36379100000000003,,0,0,0,2048,0,0,2088661f75d94debeaef555365c9e793af09792fb6608d149414af8d76b42ecb
001,134217728,128.0,hybrid,full,random_frames_ui,0,workload_first_pass_shared_process_cache,128,128,3072,5045.067839000001,5046.667334,36.714374,83.814959,266.708793,,126,125,3495942,758,166,0,05862f9493d6a8dbad4e24db20ad6263d3cf51fc266fc64ce3e3550f166ac06b
001,134217728,128.0,hybrid,full,random_frames_ui,1,workload_immediate_repeat_shared_process_cache,128,128,3072,9.663908000000005,9.985708,0.068667,0.105959,0.413375,,0,0,0,768,0,0,05862f9493d6a8dbad4e24db20ad6263d3cf51fc266fc64ce3e3550f166ac06b
001,134217728,128.0,hybrid,full,random_ranges_contract,0,workload_first_pass_shared_process_cache,64,2048,139264,2421.182464999998,2423.46,0.495124,183.959501,286.909876,,64,64,2248061,1024,66,0,22eed604776c14ca9b08375c6d812b383c580f0bcc4fb64bc3f921d96c4d7120
001,134217728,128.0,hybrid,full,random_ranges_contract,1,workload_immediate_repeat_shared_process_cache,64,2048,139264,13.198253000000022,14.247542,0.18187499999999998,0.34441600000000006,0.39349900000000004,,0,0,0,1024,0,0,22eed604776c14ca9b08375c6d812b383c580f0bcc4fb64bc3f921d96c4d7120
001,134217728,128.0,hybrid,full,sequential_contract_forward,0,workload_first_pass_shared_process_cache,1698,1187087,80721916,2376.4787320000064,2683.457833,0.124666,0.382251,173.79820800000002,499899.27702832763,59,59,2376035,27787,59,0,b021cb12a40e37e28466406b6aff96023c9bd85a524242b5d24d83f31719746e
001,134217728,128.0,hybrid,full,sequential_contract_forward,1,workload_immediate_repeat_shared_process_cache,1698,1187087,80721916,129.53749600000037,299.709375,0.072874,0.09783199999999999,0.181875,9171089.736056011,0,0,0,27787,0,0,b021cb12a40e37e28466406b6aff96023c9bd85a524242b5d24d83f31719746e
001,134217728,128.0,hybrid,full,sequential_ui_forward,0,workload_first_pass_shared_process_cache,1698,1187087,28490088,1577.0308239999993,1740.776167,0.07675,0.21028999999999998,53.587416,753314.3816344332,38,38,831371,10406,38,0,96d9ae52d98e3f544c9accc67b7f2acc8506daa6e5c3147b17d9a7c0c4735670
001,134217728,128.0,hybrid,full,sequential_ui_forward,1,workload_immediate_repeat_shared_process_cache,1698,1187087,28490088,53.91011700000011,121.024292,0.027917000000000004,0.05395899999999999,0.126583,22036680.053949755,0,0,0,10406,0,0,96d9ae52d98e3f544c9accc67b7f2acc8506daa6e5c3147b17d9a7c0c4735670
001,134217728,128.0,hybrid,full,sequential_ui_reverse,0,workload_first_pass_shared_process_cache,1698,1187087,28490088,46.57709500000004,107.106375,0.027000000000000003,0.030625,0.046583,25506099.081533507,0,0,0,10406,0,0,7a015f92bb3966c236ec8d43bb120b56847634356a809923c86a20f58f29ad5e
